Order ID,Order Date,Region,Product Line,Units Sold,Unit Price,Order Status,Delivery Days,Support Issue,Resolution Time (hrs),Customer Satisfaction,Total Revenue
HP00077,2024-08-30 03:38:52.847993,Europe,Accessories,79,1596.86,Cancelled,7,Hardware,2,4,126151.94
HP00078,2025-02-22 03:38:52.847998,Europe,Accessories,44,1596.86,Delivered,12,Software,60,3,70261.84
HP00079,2025-01-14 03:38:52.848002,South America,Accessories,15,1596.86,Backordered,9,Warranty,54,4,23952.9
HP00080,2025-05-15 03:38:52.848007,Europe,Printers,43,1596.86,Pending,3,Network,30,4,68664.98
HP00081,2024-12-08 03:38:52.848018,Europe,Printers,48,1596.86,Backordered,2,Network,38,5,76649.28
HP00082,2024-12-10 03:38:52.848022,Africa,Desktops,87,1596.86,Cancelled,14,Warranty,28,2,138926.82
HP00083,2024-07-03 03:38:52.848026,South America,Monitors,70,1596.86,Cancelled,3,Network,25,3,111780.2
HP00084,2024-06-18 03:38:52.848031,Africa,Laptops,46,1596.86,Delivered,12,Setup,10,2,73455.56
HP00085,2025-02-20 03:38:52.848035,Africa,Accessories,43,1596.86,Delivered,9,Hardware,60,4,68664.98
HP00086,2025-01-21 03:38:52.848039,South America,Desktops,21,1596.86,Cancelled,12,Hardware,42,1,33534.06
HP00087,2024-09-18 03:38:52.848043,North America,Laptops,23,1596.86,Pending,7,Hardware,40,4,36727.78
HP00088,2024-10-02 03:38:52.848048,Africa,Desktops,80,1596.86,Pending,9,Network,42,2,127748.8
HP00089,2024-05-24 03:38:52.848052,Middle East,Printers,47,1596.86,Backordered,13,Network,47,4,75052.42
HP00090,2025-04-30 03:38:52.848057,Middle East,Accessories,15,1596.86,Cancelled,2,Software,37,1,23952.9
HP00091,2025-03-09 03:38:52.848062,Europe,Laptops,25,1596.86,Cancelled,5,Software,22,5,39921.5
HP00092,2024-08-01 03:38:52.848066,Middle East,Laptops,36,1596.86,Pending,13,Hardware,57,2,57486.96
HP00093,2024-08-02 03:38:52.848069,Europe,Laptops,75,1596.86,Pending,4,Setup,27,4,119764.5
HP00094,2024-08-06 03:38:52.848072,North America,Laptops,51,1596.86,Cancelled,2,Software,41,2,81439.86
HP00095,2025-05-01 03:38:52.848074,South America,Laptops,15,1596.86,Delivered,9,Software,34,5,23952.9
HP00096,2024-09-08 03:38:52.848077,South America,Desktops,68,1596.86,Cancelled,9,Network,32,4,108586.48
HP00097,2024-06-27 03:38:52.848080,South America,Accessories,21,1596.86,Cancelled,6,Setup,66,4,33534.06
HP00098,2025-01-14 03:38:52.848082,Middle East,Printers,13,1596.86,Pending,11,Hardware,12,2,20759.18
HP00099,2024-06-24 03:38:52.848084,North America,Printers,86,1596.86,Pending,6,Software,40,2,137329.96
HP00100,2024-08-16 03:38:52.848087,Middle East,Printers,19,1596.86,Delivered,8,Setup,10,1,30340.34
HP00101,2024-06-06 03:38:52.848090,Middle East,Printers,34,1596.86,Delivered,6,Setup,48,5,54293.24
HP00102,2024-05-25 03:38:52.848092,North America,Desktops,78,1596.86,Backordered,1,Hardware,20,1,124555.08
HP00103,2024-06-28 03:38:52.848095,North America,Monitors,68,1596.86,Cancelled,4,Setup,39,4,108586.48
HP00104,2025-04-23 03:38:52.848097,North America,Accessories,52,1596.86,Pending,13,Setup,60,2,83036.72
HP00105,2025-05-14 03:38:52.848100,North America,Laptops,27,1596.86,Delivered,7,Setup,66,4,43115.22
HP00106,2024-11-02 03:38:52.848102,South America,Monitors,29,1596.86,Backordered,13,Software,65,4,46308.94
HP00107,2024-10-20 03:38:52.848105,Asia-Pacific,Printers,28,1596.86,Backordered,13,Hardware,51,3,44712.08
HP00108,2025-03-13 03:38:52.848108,Asia-Pacific,Monitors,35,1596.86,Pending,2,Setup,36,3,55890.1
HP00109,2024-06-06 03:38:52.848110,North America,Accessories,8,1596.86,Pending,9,Setup,24,4,12774.88
HP00110,2024-12-14 03:38:52.848113,Asia-Pacific,Laptops,16,1596.86,Backordered,8,Software,27,2,25549.76
HP00111,2024-09-21 03:38:52.848115,Asia-Pacific,Laptops,36,1596.86,Delivered,8,Hardware,2,4,57486.96
HP00112,2024-11-18 03:38:52.848118,North America,Accessories,30,1596.86,Backordered,7,Network,31,3,47905.8
HP00113,2025-02-12 03:38:52.848123,Asia-Pacific,Accessories,18,1596.86,Cancelled,4,Software,57,2,28743.48
HP00114,2025-02-13 03:38:52.848127,Middle East,Printers,2,1596.86,Cancelled,2,Hardware,66,4,3193.72
HP00115,2024-10-20 03:38:52.848132,Europe,Laptops,49,1596.86,Pending,3,Setup,29,5,78246.14
HP00116,2024-06-12 03:38:52.848136,Europe,Monitors,77,1596.86,Delivered,12,Hardware,15,5,122958.22
HP00117,2024-05-20 03:38:52.848141,North America,Desktops,4,1596.86,Delivered,6,Hardware,12,4,6387.44
HP00118,2025-05-05 03:38:52.848146,South America,Desktops,90,1596.86,Cancelled,12,Hardware,28,2,143717.4
HP00119,2024-10-26 03:38:52.848151,North America,Accessories,89,1596.86,Backordered,12,Network,24,4,142120.54
HP00120,2024-07-05 03:38:52.848156,South America,Printers,94,1596.86,Pending,5,Hardware,21,4,150104.84
HP00121,2025-02-10 03:38:52.848159,Europe,Desktops,75,1596.86,Backordered,12,Network,10,3,119764.5
HP00122,2025-03-21 03:38:52.848162,North America,Laptops,7,1596.86,Backordered,8,Setup,18,5,11178.02
HP00123,2024-12-23 03:38:52.848164,Africa,Accessories,95,1596.86,Backordered,6,Network,14,3,151701.7
HP00124,2024-07-28 03:38:52.848167,Middle East,Monitors,74,1596.86,Delivered,6,Setup,34,3,118167.64
HP00125,2025-04-20 03:38:52.848170,Asia-Pacific,Accessories,39,1596.86,Cancelled,1,Setup,58,4,62277.54
HP00126,2025-05-06 03:38:52.848172,South America,Monitors,13,1596.86,Delivered,4,Network,22,3,20759.18
HP00127,2024-06-28 03:38:52.848176,Africa,Accessories,31,1596.86,Cancelled,5,Software,70,5,49502.66
HP00128,2024-08-31 03:38:52.848181,Asia-Pacific,Accessories,71,1596.86,Pending,12,Warranty,36,3,113377.06
HP00129,2024-06-15 03:38:52.848185,Asia-Pacific,Accessories,63,1596.86,Pending,11,Hardware,45,5,100602.18
HP00130,2025-01-06 03:38:52.848190,North America,Monitors,56,1596.86,Backordered,3,Warranty,36,3,89424.16
HP00131,2024-11-07 03:38:52.848195,Asia-Pacific,Monitors,42,1596.86,Cancelled,13,Hardware,22,5,67068.12
HP00132,2025-05-10 03:38:52.848207,Middle East,Accessories,61,1596.86,Cancelled,9,Hardware,61,3,97408.46
HP00133,2025-01-21 03:38:52.848211,Africa,Desktops,42,1596.86,Cancelled,1,Setup,56,3,67068.12
HP00134,2024-08-09 03:38:52.848214,Asia-Pacific,Printers,56,1596.86,Backordered,6,Hardware,33,2,89424.16
HP00135,2025-03-30 03:38:52.848217,North America,Printers,36,1596.86,Backordered,6,Hardware,45,5,57486.96
HP00136,2024-12-18 03:38:52.848219,Middle East,Printers,84,1596.86,Pending,10,Network,36,5,134136.24
HP00137,2024-07-26 03:38:52.848222,Europe,Monitors,68,1596.86,Delivered,5,Warranty,20,5,108586.48
HP00138,2025-01-03 03:38:52.848224,Africa,Monitors,7,1596.86,Cancelled,12,Network,18,1,11178.02
HP00139,2025-02-16 03:38:52.848227,Asia-Pacific,Desktops,54,1596.86,Cancelled,5,Hardware,38,3,86230.44
HP00140,2025-03-10 03:38:52.848230,North America,Printers,1,1596.86,Delivered,10,Setup,67,5,1596.86
HP00141,2025-05-14 03:38:52.848233,Europe,Printers,44,1596.86,Cancelled,14,Network,23,1,70261.84
HP00142,2025-02-13 03:38:52.848235,Europe,Accessories,45,1596.86,Backordered,13,Network,16,2,71858.7
HP00143,2024-10-16 03:38:52.848238,South America,Monitors,47,1596.86,Backordered,5,Software,59,5,75052.42
HP00144,2024-06-24 03:38:52.848240,Middle East,Printers,13,1596.86,Cancelled,6,Hardware,69,5,20759.18
HP00145,2024-07-09 03:38:52.848243,Asia-Pacific,Desktops,22,1596.86,Backordered,8,Setup,68,1,35130.92
HP00146,2024-10-11 03:38:52.848245,North America,Desktops,21,1596.86,Backordered,2,Network,21,3,33534.06
HP00147,2024-08-17 03:38:52.848248,South America,Printers,86,1596.86,Cancelled,6,Network,70,2,137329.96
HP00148,2025-01-10 03:38:52.848250,Middle East,Monitors,92,1596.86,Pending,1,Setup,12,5,146911.12
HP00149,2024-09-18 03:38:52.848253,South America,Desktops,9,1596.86,Delivered,4,Hardware,16,3,14371.74
HP00150,2025-02-05 03:38:52.848256,Africa,Accessories,26,1596.86,Backordered,14,Software,14,2,41518.36
HP00151,2024-11-12 03:38:52.848258,Middle East,Desktops,9,1596.86,Pending,10,Network,61,4,14371.74
HP00152,2024-06-13 03:38:52.848262,Middle East,Laptops,15,1596.86,Backordered,3,Software,71,4,23952.9
HP00153,2024-06-02 03:38:52.848268,Asia-Pacific,Laptops,10,1596.86,Backordered,9,Warranty,46,2,15968.6
HP00154,2024-06-13 03:38:52.848272,Middle East,Monitors,88,1596.86,Delivered,3,Hardware,32,1,140523.68
HP00155,2024-06-23 03:38:52.848277,South America,Printers,42,1596.86,Backordered,6,Warranty,15,2,67068.12
HP00156,2025-05-07 03:38:52.848292,Middle East,Monitors,72,1596.86,Delivered,1,Warranty,44,2,114973.92
HP00157,2024-09-24 03:38:52.848297,Asia-Pacific,Monitors,24,1596.86,Delivered,12,Warranty,17,1,38324.64
HP00158,2024-07-10 03:38:52.848300,Asia-Pacific,Monitors,80,1596.86,Delivered,6,Hardware,41,1,127748.8
HP00159,2025-04-20 03:38:52.848302,Africa,Monitors,49,1596.86,Pending,4,Hardware,54,3,78246.14
HP00160,2025-05-16 03:38:52.848304,South America,Accessories,26,1596.86,Cancelled,8,Setup,44,3,41518.36
HP00161,2024-07-17 03:38:52.848307,Europe,Accessories,91,1596.86,Pending,13,Software,5,1,145314.26
HP00162,2024-12-24 03:38:52.848310,Europe,Desktops,37,1596.86,Cancelled,11,Software,27,4,59083.82
HP00163,2024-08-22 03:38:52.848313,Middle East,Laptops,68,1596.86,Cancelled,9,Setup,43,4,108586.48
HP00164,2024-10-01 03:38:52.848315,Africa,Monitors,50,1596.86,Delivered,4,Setup,31,2,79843.0
HP00165,2024-10-28 03:38:52.848318,North America,Desktops,24,1596.86,Backordered,10,Warranty,17,5,38324.64
HP00166,2024-06-24 03:38:52.848320,Middle East,Laptops,19,1596.86,Delivered,12,Setup,54,2,30340.34
HP00167,2024-09-15 03:38:52.848323,Africa,Printers,60,1596.86,Backordered,10,Network,62,2,95811.6
HP00168,2024-06-24 03:38:52.848325,South America,Accessories,39,1596.86,Cancelled,6,Software,32,5,62277.54
HP00169,2025-01-29 03:38:52.848328,South America,Laptops,74,1596.86,Delivered,1,Setup,40,1,118167.64
HP00170,2024-11-20 03:38:52.848331,South America,Printers,89,1596.86,Backordered,4,Network,13,4,142120.54
HP00171,2025-04-13 03:38:52.848333,South America,Laptops,18,1596.86,Pending,7,Network,35,2,28743.48
HP00172,2025-01-10 03:38:52.848336,South America,Accessories,19,1596.86,Backordered,12,Network,5,5,30340.34
HP00173,2025-02-23 03:38:52.848338,Africa,Accessories,36,1596.86,Delivered,1,Network,29,3,57486.96
HP00174,2024-07-05 03:38:52.848341,Africa,Desktops,74,1596.86,Pending,8,Warranty,70,2,118167.64
HP00175,2024-06-20 03:38:52.848344,Asia-Pacific,Monitors,97,1596.86,Backordered,12,Network,25,4,154895.42
HP00176,2025-02-07 03:38:52.848346,Europe,Laptops,55,1596.86,Backordered,10,Warranty,22,1,87827.3
HP00177,2024-06-11 03:38:52.848349,South America,Laptops,69,1596.86,Backordered,12,Warranty,66,2,110183.34
HP00178,2024-06-02 03:38:52.848351,North America,Printers,47,1596.86,Backordered,11,Network,45,2,75052.42
HP00179,2024-12-21 03:38:52.848354,Africa,Accessories,49,1596.86,Backordered,6,Software,69,5,78246.14
HP00180,2024-09-19 03:38:52.848357,North America,Laptops,99,1596.86,Pending,5,Network,1,3,158089.14
HP00181,2025-04-24 03:38:52.848359,North America,Accessories,98,1596.86,Cancelled,10,Network,44,3,156492.28
HP00182,2024-11-27 03:38:52.848361,North America,Laptops,33,1596.86,Pending,11,Network,39,1,52696.38
HP00183,2024-10-10 03:38:52.848364,Asia-Pacific,Desktops,21,1596.86,Pending,14,Software,54,4,33534.06
HP00184,2024-09-09 03:38:52.848366,Africa,Monitors,81,1596.86,Pending,9,Hardware,29,1,129345.66
HP00185,2024-11-05 03:38:52.848369,North America,Laptops,22,1596.86,Cancelled,2,Hardware,54,2,35130.92
HP00186,2025-05-08 03:38:52.848372,South America,Accessories,48,1596.86,Delivered,5,Warranty,16,2,76649.28
HP00187,2024-06-03 03:38:52.848374,Middle East,Desktops,37,1596.86,Cancelled,6,Warranty,20,3,59083.82
HP00188,2025-03-16 03:38:52.848376,North America,Laptops,15,1596.86,Pending,7,Software,46,4,23952.9
HP00189,2024-05-27 03:38:52.848379,Asia-Pacific,Printers,35,1596.86,Backordered,5,Setup,67,5,55890.1
HP00190,2025-04-03 03:38:52.848382,Africa,Monitors,92,1596.86,Backordered,9,Hardware,65,4,146911.12
HP00191,2024-09-14 03:38:52.848384,Asia-Pacific,Laptops,71,1596.86,Pending,1,Warranty,58,2,113377.06
HP00192,2024-09-16 03:38:52.848386,North America,Desktops,32,1596.86,Backordered,7,Hardware,53,5,51099.52
HP00193,2024-09-29 03:38:52.848389,Africa,Printers,11,1596.86,Pending,10,Software,1,4,17565.46
HP00194,2024-10-12 03:38:52.848391,Middle East,Desktops,10,1596.86,Backordered,7,Software,66,4,15968.6
HP00195,2025-03-05 03:38:52.848394,North America,Desktops,73,1596.86,Cancelled,4,Setup,29,5,116570.78
HP00196,2024-12-25 03:38:52.848396,Asia-Pacific,Printers,78,1596.86,Delivered,9,Setup,70,2,124555.08
HP00197,2024-12-09 03:38:52.848399,Europe,Desktops,77,1596.86,Delivered,14,Software,8,4,122958.22
HP00198,2024-06-13 03:38:52.848401,South America,Printers,57,1596.86,Cancelled,12,Warranty,29,5,91021.02
HP00199,2024-11-23 03:38:52.848404,Asia-Pacific,Laptops,25,1596.86,Cancelled,11,Hardware,51,2,39921.5
HP00200,2025-01-17 03:38:52.848406,Africa,Printers,2,1596.86,Pending,5,Network,33,5,3193.72
HP00201,2024-11-29 03:38:52.848409,North America,Printers,64,1596.86,Pending,4,Setup,3,5,102199.04
HP00202,2025-02-17 03:38:52.848412,South America,Monitors,35,1596.86,Pending,13,Network,60,4,55890.1
HP00203,2024-09-03 03:38:52.848414,North America,Printers,7,1596.86,Backordered,7,Warranty,35,2,11178.02
HP00204,2024-07-27 03:38:52.848417,Africa,Printers,85,1596.86,Pending,4,Setup,69,4,135733.1
HP00205,2024-09-16 03:38:52.848420,North America,Laptops,18,1596.86,Cancelled,3,Network,20,1,28743.48
HP00206,2025-04-27 03:38:52.848422,Europe,Monitors,67,1596.86,Delivered,9,Warranty,39,1,106989.62
HP00207,2024-12-03 03:38:52.848424,South America,Accessories,42,1596.86,Backordered,11,Hardware,4,2,67068.12
HP00208,2025-02-11 03:38:52.848427,South America,Laptops,39,1596.86,Pending,8,Warranty,19,5,62277.54
HP00209,2025-03-07 03:38:52.848429,Africa,Laptops,41,1596.86,Backordered,1,Setup,45,4,65471.26
HP00210,2025-05-11 03:38:52.848432,Europe,Accessories,75,1596.86,Backordered,7,Software,43,4,119764.5
HP00211,2024-05-24 03:38:52.848434,Asia-Pacific,Printers,24,1596.86,Pending,9,Hardware,13,2,38324.64
HP00212,2024-08-22 03:38:52.848437,North America,Desktops,60,1596.86,Backordered,8,Network,13,2,95811.6
HP00213,2024-12-06 03:38:52.848439,Middle East,Monitors,46,1596.86,Delivered,8,Setup,60,1,73455.56
HP00214,2024-12-29 03:38:52.848442,North America,Desktops,19,1596.86,Cancelled,13,Software,57,3,30340.34
HP00215,2025-04-21 03:38:52.848444,North America,Accessories,68,1596.86,Cancelled,6,Warranty,52,2,108586.48
HP00216,2024-09-25 03:38:52.848447,Asia-Pacific,Laptops,90,1596.86,Delivered,11,Software,53,3,143717.4
HP00217,2024-09-03 03:38:52.848450,North America,Laptops,42,1596.86,Backordered,4,Setup,43,2,67068.12
HP00218,2025-02-14 03:38:52.848453,Europe,Monitors,32,1596.86,Pending,8,Setup,42,5,51099.52
HP00219,2025-05-14 03:38:52.848455,Europe,Laptops,39,1596.86,Backordered,3,Software,26,5,62277.54
HP00220,2024-07-22 03:38:52.848458,South America,Laptops,36,1596.86,Delivered,13,Warranty,23,1,57486.96
HP00221,2024-12-14 03:38:52.848460,Africa,Monitors,97,1596.86,Backordered,9,Software,43,1,154895.42
HP00222,2024-06-10 03:38:52.848463,Middle East,Monitors,36,1596.86,Cancelled,13,Setup,28,3,57486.96
HP00223,2024-05-16 03:38:52.848465,North America,Accessories,3,1596.86,Backordered,2,Setup,9,2,4790.58
HP00224,2024-12-12 03:38:52.848469,North America,Laptops,73,1596.86,Delivered,2,Network,20,4,116570.78
HP00225,2024-05-26 03:38:52.848473,Asia-Pacific,Laptops,8,1596.86,Cancelled,12,Network,56,1,12774.88
HP00226,2024-09-28 03:38:52.848478,Africa,Accessories,97,1596.86,Backordered,13,Hardware,39,4,154895.42
HP00227,2025-02-22 03:38:52.848483,Europe,Printers,70,1596.86,Backordered,12,Setup,51,4,111780.2
HP00228,2024-06-10 03:38:52.848487,Middle East,Printers,41,1596.86,Cancelled,7,Network,12,2,65471.26
HP00229,2024-10-29 03:38:52.848492,South America,Printers,68,1596.86,Pending,12,Software,55,3,108586.48
HP00230,2024-11-21 03:38:52.848497,Europe,Accessories,13,1596.86,Cancelled,10,Warranty,11,2,20759.18
HP00231,2025-04-30 03:38:52.848503,Africa,Laptops,49,1596.86,Pending,4,Software,26,1,78246.14
HP00232,2024-09-23 03:38:52.848505,South America,Accessories,60,1596.86,Delivered,10,Warranty,42,4,95811.6
HP00233,2024-09-30 03:38:52.848508,Asia-Pacific,Accessories,2,1596.86,Delivered,8,Network,27,2,3193.72
HP00234,2024-11-19 03:38:52.848511,Asia-Pacific,Printers,60,1596.86,Cancelled,9,Hardware,11,2,95811.6
HP00235,2024-10-16 03:38:52.848513,North America,Desktops,5,1596.86,Cancelled,7,Software,38,2,7984.3
HP00236,2024-08-08 03:38:52.848516,Africa,Laptops,44,1596.86,Delivered,5,Software,43,1,70261.84
HP00237,2025-03-01 03:38:52.848519,Middle East,Printers,27,1596.86,Pending,8,Software,19,3,43115.22
HP00238,2024-08-04 03:38:52.848521,South America,Desktops,32,1596.86,Delivered,4,Warranty,64,2,51099.52
HP00239,2024-05-18 03:38:52.848524,Europe,Desktops,21,1596.86,Cancelled,2,Network,6,1,33534.06
HP00240,2024-09-21 03:38:52.848527,Africa,Monitors,8,1596.86,Delivered,11,Software,46,4,12774.88
HP00241,2024-10-22 03:38:52.848529,Africa,Laptops,72,1596.86,Cancelled,12,Software,42,5,114973.92
